# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	8422
#@/user_id	2488dab6-35e1-46fa-a642-3badcfe375a3
chao ji 	超級	c=0 d=2.72152e-15 t=8422
chao le 	抄了	c=1 d=7.62187e-12 t=8422
chao ping mian 	超平面	c=2 d=0.158817 t=8422
chao qing 	超輕	c=2 d=1.47529e-12 t=8422
chao qing xing 	超輕型	c=1 d=5.04605e-13 t=8422
chao qiu ti 	超球體	c=1 d=0.173774 t=8422
che 	車	c=1 d=5.41193e-13 t=8422
che ba 	車把	c=3 d=1.34274e-12 t=8422
che dui 	車隊	c=0 d=1.09813e-14 t=8422
che dui jie shao 	車隊介紹	c=1 d=1.10363e-13 t=8422
che gui 	車軌	c=1 d=3.83088e-07 t=8422
che jia 	車架	c=2 d=1.02801e-12 t=8422
che tou 	車頭	c=1 d=3.24984e-13 t=8422
chen 	陳	c=1 d=5.48998e-05 t=8422
cheng 	乘	c=1 d=0.110803 t=8422
cheng 	成	c=2 d=2.96148e-08 t=8422
cheng 	程	c=1 d=1.7225e-15 t=8422
cheng ben 	成本	c=0 d=0.0257947 t=8422
cheng du 	成都	c=1 d=0.946485 t=8422
cheng du 	程度	c=0 d=0.000600598 t=8422
cheng du shang 	程度上	c=0 d=4.35294e-11 t=8422
cheng fa 	懲罰	c=0 d=0.013332 t=8422
cheng ji 	成績	c=2 d=0.000430743 t=8422
cheng le 	成了	c=2 d=0.246382 t=8422
cheng pin 	成品	c=1 d=5.38494e-13 t=8422
cheng qian shang wan 	成千上萬	c=1 d=4.83732e-16 t=8422
cheng shi 	城市	c=3 d=1.8759 t=8422
cheng shi de 	城市的	c=1 d=0.71177 t=8422
cheng shou 	承受	c=0 d=0.0156453 t=8422
cheng shu 	成熟	c=4 d=0.0903918 t=8422
cheng shu wen ding 	成熟穩定	c=1 d=0.0405589 t=8422
cheng wei 	成爲	c=4 d=0.00102127 t=8422
cheng wei 	稱爲	c=2 d=0.00102034 t=8422
cheng wei le 	成爲了	c=1 d=6.54326e-11 t=8422
cheng wei yi ge 	稱爲一個	c=1 d=7.13856e-06 t=8422
cheng xian chu lai 	呈現出來	c=1 d=5.51844e-07 t=8422
